G2822	SAMEA118265550
G2827	SAMEA118265551
G2828	SAMEA118265552
G2830	SAMEA118265553
G2831	SAMEA118265554
G2836	SAMEA118265555
G2837	SAMEA118265556
G2843	SAMEA118265557
G2846	SAMEA118265558
G2847	SAMEA118265559
G2848	SAMEA118265560
G2849	SAMEA118265561
G2850	SAMEA118265562
G2851	SAMEA118265563
G2852	SAMEA118265564
G2853	SAMEA118265565
G2854	SAMEA118265566
G2855	SAMEA118265567
G2856	SAMEA118265568
G2858	SAMEA118265569
G2861	SAMEA118265570
G2862	SAMEA118265571
G2867	SAMEA118265572
G2869	SAMEA118265573
G2870	SAMEA118265574
G2871	SAMEA118265575
G2872	SAMEA118265576
G2873	SAMEA118265577
G2874	SAMEA118265578
G2875	SAMEA118265579
G2876	SAMEA118265580
G2877	SAMEA118265581
G2880Rep	SAMEA118265582
G2894	SAMEA118265583
G2911	SAMEA118265585
G2912	SAMEA118265586
G2913	SAMEA118265587
G2920	SAMEA118265588
G2921	SAMEA118265589
G2922	SAMEA118265590
G2924	SAMEA118265591
G2925	SAMEA118265592
G2931	SAMEA118265593
G2932	SAMEA118265594
G2936	SAMEA118265595
G2938	SAMEA118265597
G2939	SAMEA118265598
G2943	SAMEA118265599
G2947	SAMEA118265600
G2948	SAMEA118265601
G2949	SAMEA118265602
G2950	SAMEA118265603
G2951	SAMEA118265604
G2953	SAMEA118265605
G2954	SAMEA118265606
G2955	SAMEA118265607
G2956	SAMEA118265608
G2957	SAMEA118265609
G2959	SAMEA118265610
G2960	SAMEA118265611
G2961	SAMEA118265612
G2962	SAMEA118265613
G2964	SAMEA118265614
G2965	SAMEA118265615
G2968	SAMEA118265616
G2969	SAMEA118265617
G2970	SAMEA118265618
G2974	SAMEA118265620
G2975	SAMEA118265621
G2978	SAMEA118265622
G2979	SAMEA118265623
G2980	SAMEA118265624
G2981	SAMEA118265625
G2983	SAMEA118265627
G2986	SAMEA118265628
G2987	SAMEA118265629
G2990	SAMEA118265630
G2991	SAMEA118265631
G2992	SAMEA118265632
G2995	SAMEA118265633
G3000	SAMEA118265634
G3001	SAMEA118265635
G3003	SAMEA118265636
G3004	SAMEA118265637
G3007	SAMEA118265638
G3009	SAMEA118265639
G3017	SAMEA118265640
G3018	SAMEA118265641
G3019	SAMEA118265642
G3020	SAMEA118265643
G3021	SAMEA118265644
G3023	SAMEA118265645
G3024	SAMEA118265646
G3026	SAMEA118265647
G3029	SAMEA118265648
G3031	SAMEA118265649
G3032Rep	SAMEA118265650
G3034	SAMEA118265651
G3035Rep	SAMEA118265652
G3036	SAMEA118265653
G3037	SAMEA118265654
G3039	SAMEA118265655
G3040	SAMEA118265656
G3041	SAMEA118265657
G3042	SAMEA118265658
G3043	SAMEA118265659
G3046	SAMEA118265660
G3048	SAMEA118265661
G3049	SAMEA118265662
G3050	SAMEA118265663
G3051	SAMEA118265664
G3052	SAMEA118265665
G3053	SAMEA118265666
G3057	SAMEA118265668
G3058	SAMEA118265669
G3061	SAMEA118265671
G3064	SAMEA118265673
G3067	SAMEA118265674
G3072	SAMEA118265675
G3073	SAMEA118265676
G3074	SAMEA118265677
G3077	SAMEA118265678
G3083	SAMEA118265679
G3085	SAMEA118265680
G3086	SAMEA118265681
G3087	SAMEA118265682
G3088	SAMEA118265683
G3089	SAMEA118265684
G3090	SAMEA118265685
G3091	SAMEA118265686
G3092	SAMEA118265687
G3095	SAMEA118265688
G3097	SAMEA118265689
G3098	SAMEA118265690
G3104	SAMEA118265691
G3106	SAMEA118265692
G3107	SAMEA118265693
G3109	SAMEA118265694
G3112	SAMEA118265695
G3115	SAMEA118265696
G3116	SAMEA118265697
G3117	SAMEA118265698
G3121	SAMEA118265699
G3123	SAMEA118265700
G3124	SAMEA118265701
G3125	SAMEA118265702
G3128	SAMEA118265703
G3129	SAMEA118265704
G3130	SAMEA118265705
G3133	SAMEA118265706
G3134	SAMEA118265707
G3135	SAMEA118265708
G3136	SAMEA118265709
G3139	SAMEA118265710
G3141	SAMEA118265711
G3146	SAMEA118265712
G3151	SAMEA118265713
G3152	SAMEA118265714
G3153	SAMEA118265715
G3156	SAMEA118265716
G3157	SAMEA118265717
G3161	SAMEA118265718
G3164	SAMEA118265719
G3168	SAMEA118265720
G3169	SAMEA118265721
G3170	SAMEA118265722
G3172	SAMEA118265723
G3175	SAMEA118265724
G3179	SAMEA118265725
G3181	SAMEA118265726
G3182	SAMEA118265727
G3183	SAMEA118265728
G3184	SAMEA118265729
G3185	SAMEA118265730
G3186	SAMEA118265731
G3187	SAMEA118265732
G3188	SAMEA118265733
G3189	SAMEA118265734
G3192	SAMEA118265735
G3193	SAMEA118265736
G3194	SAMEA118265737
G3197	SAMEA118265738
G3200	SAMEA118265739
G3202	SAMEA118265740
G3205	SAMEA118265741
G3206	SAMEA118265742
G3209	SAMEA118265743
G3210	SAMEA118265744
G3211	SAMEA118265745
G3212	SAMEA118265746
G3214	SAMEA118265747
G3217	SAMEA118265748
G3218	SAMEA118265749
G3222	SAMEA118265750
G3223	SAMEA118265751
G3224	SAMEA118265752
G3225	SAMEA118265753
G3226	SAMEA118265754
G3227	SAMEA118265755
G3229	SAMEA118265756
G3230	SAMEA118265757
G3231	SAMEA118265758
G3233	SAMEA118265759
G3235	SAMEA118265760
G3236	SAMEA118265761
G3238	SAMEA118265762
G3239	SAMEA118265763
G3240	SAMEA118265764
G3241	SAMEA118265765
G3242	SAMEA118265766
G3243	SAMEA118265767
G3246	SAMEA118265768
G3251	SAMEA118265769
G3252	SAMEA118265770
G3256	SAMEA118265771
G3257	SAMEA118265772
G3259	SAMEA118265773
G3261	SAMEA118265774
G3262	SAMEA118265775
G3264	SAMEA118265776
G3266	SAMEA118265777
G3268	SAMEA118265778
G3270	SAMEA118265779
G3272	SAMEA118265780
G3273	SAMEA118265781
G3274	SAMEA118265782
G3275	SAMEA118265783
G3276	SAMEA118265784
G3277	SAMEA118265785
G3278	SAMEA118265786
G3279	SAMEA118265787
G3281	SAMEA118265788
G3283	SAMEA118265789
G3284	SAMEA118265790
G3286	SAMEA118265791
G3289	SAMEA118265794
G3290	SAMEA118265795
G3292	SAMEA118265796
G3296	SAMEA118265797
G3297	SAMEA118265798
G3299	SAMEA118265799
G3303	SAMEA118265800
G3304	SAMEA118265801
G3305	SAMEA118265802
G3306	SAMEA118265803
G3307	SAMEA118265804
G3310	SAMEA118265805
G3315	SAMEA118265808
G3322	SAMEA118265809
G3327	SAMEA118265810
G3354	SAMEA118265811
G3357	SAMEA118265812
G3358	SAMEA118265813
G3359	SAMEA118265814
G3360	SAMEA118265815
G3369	SAMEA118265816
G3371	SAMEA118265817
G3373	SAMEA118265818
G3374	SAMEA118265819
G3376	SAMEA118265820
G3380	SAMEA118265821
G3385	SAMEA118265822
G3386	SAMEA118265823
G3423	SAMEA118265824
G3493	SAMEA118265825
G3494	SAMEA118265826
G3498	SAMEA118265827
G3499	SAMEA118265828
G3500	SAMEA118265829
G3501	SAMEA118265830
G3502	SAMEA118265831
G3503	SAMEA118265832
G3504	SAMEA118265833
G3505	SAMEA118265834
G3506	SAMEA118265835
G3507	SAMEA118265836
G3508	SAMEA118265837
G3511	SAMEA118265838
G3512	SAMEA118265839
G3513	SAMEA118265840
G3514	SAMEA118265841
G3515	SAMEA118265842
